,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
654,Bases Matemáticas: Integrales,"23,703",Self-paced on your time,Universitat Politècnica de Valencia,Antonio José Guirao Sánchez,Introductory,Math,Español,Español,50.0,5,4,5
655,Epidemics II,"8,565",Self-paced on your time,University of Hong Kong,Gabriel M. Leung-Joseph Wu-Guan Yi-Malik Peiris,Introductory,Medicine,English,"English, 中文, 中文",139.0,3,2,3
656,Derechos humanos: Los derechos de las personas refugiadas,"28,398",Self-paced on your time,Amnesty International,Amnistía Internacional,Introductory,Humanities,Español,Español,49.0,3,3,5
657,Sign Language Science: Factors Contributing to Natural Learning,,Self-paced on your time,Georgetown University,Ted Supalla,Introductory,Language,English,English,99.0,4,3,5
658,Big Data Analytics,"43,009",Self-paced on your time,University of Adelaide,Lewis Mitchell-Simon Tuke-David Suter,Intermediate,Computer Science,English,English,199.0,10,8,10
659,"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods","6,594",Self-paced on your time,Imperial College London,Philip Ramsden-Phil Chaffe,Intermediate,Math,English,English,49.0,7,2,4
660,ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,"16,028",Self-paced on your time,Universitat Politècnica de Valencia,Carola Calabuig Tormo-María Ángeles Abellán López-Antonio Miguel Nogués Pedregal-Irene Belmonte Martín,Introductory,Social Sciences,Español,"English, Español",25.0,6,3,4
661,Achieving Product-Market Fit,,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",James Green,Introductory,Business & Management,English,English,199.0,4,2,3
662,Culture and Law: The East Asian Perspective,,Self-paced on your time,Waseda University,Maji C. Rhee,Introductory,Social Sciences,English,English,49.0,3,4,6
663,Fundamentals of Market Structure,"32,049",Self-paced on your time,NYIF,Chris White,Introductory,Economics & Finance,English,English,25.0,1,1,2
664,Protecting Children in Humanitarian Settings,"7,246",Self-paced on your time,Columbia University,Hanna-Tina Fischer-Mark Canavera-Michael G. Wessells,Intermediate,Social Sciences,English,English,50.0,12,3,5
665,How to Achieve the Sustainable Development Goals,"12,719",Self-paced on your time,SDG Academy,Jeffrey D. Sachs,Intermediate,Environmental Studies,English,"English, Русский",49.0,7,4,6
666,Aprendizaje y Enseñanza en la Era Digital,"16,954",Self-paced on your time,Universidad Galileo,Carlos Alario-Hoyos-Rocael Hernández-Miguel Morales-Mónica De La Roca,Intermediate,Education & Teacher Training,Español,Español,49.0,4,4,5
667,From Atoms to Stars: How Physics Explains Our World,"15,914",Self-paced on your time,National Research Nuclear University,Andrey S. Olchak,Intermediate,Physics,English,"English, Русский",49.0,4,2,3
668,The Threat of Nuclear Terrorism,,Self-paced on your time,Stanford University,William Perry,Introductory,History,English,English,50.0,5,1,5
669,Introducción a Matemáticas para Finanzas y Negocios,,Self-paced on your time,Tecnológico de Monterrey,Luis A. Hernández Arámburo,Advanced,Economics & Finance,Español,Español,49.99,5,5,8
670,Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),,Self-paced on your time,Universitat Politècnica de Valencia,Ignacio Despujol,Intermediate,Engineering,Español,Español,75.0,7,4,5
671,Liderazgo inclusivo,,Self-paced on your time,Universidad Carlos III de Madrid,Carmen Paz-Aparicio-María José Sánchez Bueno-Fernando Muñoz Bullón,Intermediate,Business & Management,Español,Español,29.0,5,3,5
672,مساق اللّغة العربيّة,,Self-paced on your time,United Arab Emirates University,باسلة موسى جلو,Introductory,Language,اللغة العربية,اللغة العربية,49.0,8,3,4
673,"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet","8,330",Self-paced on your time,Delft University of Technology,Koen Bertels-Carmen G. Almudever-David Elkouss-Nader Khammassi,Intermediate,Physics,English,English,79.0,6,6,8
674,Contemporary Issues in World Politics,"11,426",Self-paced on your time,Università degli Studi di Napoli Federico II,İlter Turan-Mehmet Ali Tuğtan,Introductory,Social Sciences,English,English,59.0,7,4,6
675,More Fun with Prime Numbers,"10,604",Self-paced on your time,Kyoto University,Tetsushi Ito,Intermediate,Math,English,English,49.0,5,1,2
676,Enterprise Selling,"5,020",Self-paced on your time,Queen’s University,Jim Hamilton,Introductory,Business & Management,English,English,149.0,6,4,6
677,Climate Change: Financial Risks and Opportunities,"9,977",Self-paced on your time,Imperial College Business School-Imperial College London,Charles Donovan,Intermediate,Economics & Finance,English,English,79.0,4,2,10
678,Caer o No caer. El Secreto de las Estructuras.,"20,939",Self-paced on your time,Universidad Carlos III de Madrid,Carlos Santiuste-José Fernández Sáez-Ramón Zaera-José Luis Pérez Castellanos,Introductory,Engineering,Español,Español,29.0,8,2,3
679,Mandarin Chinese Level 2,"8,784",Self-paced on your time,MandarinX,Estella Chen,Introductory,Language,English,English,149.0,6,4,10
680,Design Thinking: Prototyping and User Testing,"10,769",Self-paced on your time,Rochester Institute of Technology,Jennifer Englert-Melissa Dawson,Intermediate,Business & Management,English,English,299.0,6,8,12
681,Bases Matemáticas: Derivadas,"24,301",Self-paced on your time,Universitat Politècnica de Valencia,Santiago Moll López-José Antonio Moraño Fernández,Introductory,Math,Español,Español,50.0,5,3,4
682,Buscar en Internet,"27,320",Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets-Ana María Checa Rubio-Ignacio Despujol,Introductory,Computer Science,Español,Español,49.0,7,3,4
683,Big Data and Education,"14,909",Self-paced on your time,University of Pennsylvania,Ryan Baker,Advanced,Data Analysis & Statistics,English,English,169.0,8,6,12
684,Model-Based Automotive Systems Engineering,"13,857",Instructor-led on a course schedule,Chalmers University of Technology,Jonas Fredriksson,Advanced,Engineering,English,English,249.0,7,10,20
685,Introduction to Hyperledger Blockchain Technologies,"138,884",Self-paced on your time,The Linux Foundation,Alexandra Groetsema-Arianna Groetsema-Navroop Sahdev-Nathalie Salami,Introductory,Business & Management,English,English,199.0,14,3,4
686,MathTrackX: Integral Calculus,,Self-paced on your time,University of Adelaide,Dr Danny Stevenson-Dr Brendan Harding-Dr Melissa Humphries-Dr David Butler,Introductory,Math,English,English,79.0,4,3,6
687,Solar Energy Engineering: Comprehensive Exams,,Self-paced on your time,Delft University of Technology,Arno Smets-Miro Zeman-René van Swaaij-Olindo Isabella,Advanced,Engineering,English,English,250.0,8,4,6
688,Mercados de capital y participantes claves,"7,210",Self-paced on your time,NYIF,Jack Farmer,Introductory,Economics & Finance,Español,Español,49.0,2,1,2
689,Introducción al desarrollo de videojuegos con Unity,"27,474",Self-paced on your time,Universitat Politècnica de Valencia,Jordi Linares Pellicer,Intermediate,Computer Science,Español,Español,50.0,6,3,4
690,Incorporating Renewable Energy in Electricity Grids,"10,430",Self-paced on your time,Imperial College London,Ajay Gambhir,Intermediate,Energy & Earth Sciences,English,English,49.0,6,2,5
691,Herramientas de la Inteligencia de Negocios,"24,130",Self-paced on your time,Universidad Galileo,Jorge Samayoa-Preng Biba,Introductory,Data Analysis & Statistics,Español,Español,49.0,5,5,6
692,Overview & Management of Parkinson’s Disease,,Self-paced on your time,Salisbury University-University System of Maryland,Mary DiBartolo,Intermediate,Medicine,English,English,49.0,5,2,3
693,Conociendo los costos,,Self-paced on your time,Universidades Anáhuac,Laura Avila Rodríguez-Lourdes Rojas Cataño,Intermediate,Economics & Finance,Español,Español,49.0,5,5,7
694,Sprint Planning for Faster Agile Team Delivery,"10,654",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,199.0,4,2,3
695,Introduction to Water and Climate,"36,320",Self-paced on your time,Delft University of Technology,Caroline Katsman-Herman Russchenberg-Hubert Savenije-Marcel Stive,Intermediate,Engineering,English,English,50.0,10,6,8
696,The Medieval Icelandic Sagas,"11,176",Self-paced on your time,The University of Iceland,Hjalti Snær Ægisson-Beth Rogers,Intermediate,Humanities,English,English,50.0,6,2,3
697,Visual Presentation,,Self-paced on your time,Rochester Institute of Technology,Lori Marra,Introductory,Communication,English,English,199.0,3,4,6
698,Community Engagement: Collaborating for Change,"11,818",Self-paced on your time,The University of Michigan,Community Engagement Course Team,Introductory,Social Sciences,English,English,49.0,6,2,4
699,Introducción al Internet de las Cosas (IoT),"6,322",Self-paced on your time,Universitat Politècnica de Valencia,Leopoldo Armesto Ángel,Introductory,Electronics,Español,Español,50.0,6,5,6
700,"Proteins: Alignment, Analysis and Structure","23,560",Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,James Coker,Advanced,Biology & Life Sciences,English,English,249.0,8,8,10
701,AI Applications with Watson,"9,173",Self-paced on your time,IBM,Rav Ahuja,Intermediate,Computer Science,English,English,99.0,3,2,4
702,Data Analytics and Visualization in Health Care,"7,304",Self-paced on your time,Rochester Institute of Technology,Travis Masonis-Matthew Phillips-Jodi Lubba-Johnny Brown,Advanced,Data Analysis & Statistics,English,English,249.0,8,8,10
703,Question Everything: Scientific Thinking in Real Life,"34,279",Self-paced on your time,The University of Queensland,Noël Chan-Scott Jones-Derek McDowall-Anthony Mewing,Introductory,Math,English,English,59.0,8,2,4
704,Introduction to Lifestyle Medicine,"9,002",Self-paced on your time,Doane University,"Amanda McKinney, MD, FACLM",Introductory,Biology & Life Sciences,English,English,79.0,8,5,10
705,"Social Work Practice with Individuals, Families, and Small Groups","16,134",Self-paced on your time,The University of Michigan,Mary Ruffolo,Advanced,Social Sciences,English,English,199.0,8,8,10
706,Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,"6,938",Self-paced on your time,Tsinghua University,Ying Qiu-Bogen Song-Shuang Chao-Fei Wang,Introductory,Medicine,中文,"English, 中文",49.0,10,1,3
707,Indian & Tibetan River of Buddhism,"6,738",Self-paced on your time,Columbia University,Robert A.F. Thurman-Columbia University Center for Teaching and Learning,Intermediate,Humanities,English,English,49.99,12,2,4
708,Compostaje Orgánico en Casa,,Instructor-led on a course schedule,Universidad Nacional de Córdoba,Paola Andrea Campitelli,Introductory,Environmental Studies,Español,Español,29.0,5,4,5
709,Financial Analysis for Decision Making,"39,156",Self-paced on your time,Babson College,Mark Potter,Introductory,Business & Management,English,English,199.0,4,4,6
710,Lifestyle Medicine Treatments of Chronic Disease – Part 1,"5,668",Self-paced on your time,Doane University,"Amanda McKinney, MD, FACLM",Intermediate,Medicine,English,English,179.0,2,10,15
711,Building Containerized Applications on AWS,"6,128",Self-paced on your time,Amazon Web Services,Seph Robinson-Morgan Willis-Rick Hurst-Alana Layton,Intermediate,Computer Science,English,English,99.0,5,2,4
712,Effective Communication for Program and Project Stakeholders and Teams,,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Bill Brantley,Introductory,Business & Management,English,English,199.0,5,3,5
713,Biobased Products for a Sustainable (Bio)economy,"6,951",Self-paced on your time,DelftXRWTHx-Delft University of Technology-RWTH Aachen University,Juergen Rabenhorst-Manfred Kircher-Lars M. Blank-Frank Hollmann,Introductory,Biology & Life Sciences,English,English,50.0,10,5,6
714,Social Work Practice: Advocating Social Justice and Change,"19,603",Self-paced on your time,The University of Michigan,Mary Ruffolo-Barbara Hiltz-Katie Richards-Schuster,Introductory,Social Sciences,English,English,49.0,5,2,3
715,Anthropology of Current World Issues,"44,821",Instructor-led on a course schedule,The University of Queensland,Gerhard Hoffstaedter-David Trigger-Anna Cristina Pertierra-Annie Ross,Introductory,Humanities,English,English,99.0,9,2,4
716,Buyer Behaviour and Analysis,"19,717",Instructor-led on a course schedule,Curtin University,Isaac Cheah,Advanced,Communication,English,English,199.0,12,8,10
717,Idea Development: Create and Implement Innovative Ideas,"11,501",Self-paced on your time,The University of Queensland,Anna Jenkins,Intermediate,Business & Management,English,English,249.0,10,8,10
718,Analysis of Transport Phenomena I: Mathematical Methods,"9,169",Instructor-led on a course schedule,Massachusetts Institute of Technology,Martin Bazant,Advanced,Engineering,English,English,149.0,17,10,12
719,Leading the Organization,"14,998",Self-paced on your time,The University of Queensland,Richard O’Quinn,Intermediate,Business & Management,English,English,249.0,10,8,10
720,"Financial Programming and Policies, Part 2: Program Design","19,330",Self-paced on your time,The International Monetary Fund,Adina Popescu-Antonio David-Alfredo Baldini-Evan Tanner,Intermediate,Economics & Finance,English,English,25.0,7,6,8
721,Introduction to Open Source Networking Technologies,"17,436",Self-paced on your time,The Linux Foundation,Reza Toghraee,Introductory,Computer Science,English,English,169.0,14,3,4
722,Deep Learning Essentials,"5,018",Self-paced on your time,Université de Montréal,Mirko Bronzi-Golnoosh Farnadi-Gaétan Marceau Caron-Jeremy Pinto,Intermediate,Computer Science,English,English,149.0,5,4,6
